feature,importance
backers_scaled_0,0.6527085469039019
features_goal_bucket_ohe_micro,0.08610918192100622
features_category_idx,0.0738618568336089
features_main_category_ohe_Theater,0.040093194301758346
features_cont_scaled_1,0.03707852728983144
features_main_category_ohe_Dance,0.03512939775131833
features_cont_scaled_0,0.03236004709070285
features_goal_bucket_ohe_mega,0.01778316955830249
features_main_category_ohe_Comics,0.015460360570493659
features_cont_scaled_2,0.0035339109673114704
features_goal_bucket_ohe_medium,0.0029296342193339806
features_launch_month_ohe_7,0.0019218373403065657
features_goal_bucket_ohe_large,0.0007975221487103183
features_country_idx,0.00012166547676924805
features_main_category_ohe_Film & Video,0.00011114762664427385
features_main_category_ohe_Music,0.0
features_main_category_ohe_Publishing,0.0
features_main_category_ohe_Games,0.0
features_main_category_ohe_Technology,0.0
features_main_category_ohe_Art,0.0
features_main_category_ohe_Design,0.0
features_main_category_ohe_Food,0.0
features_main_category_ohe_Fashion,0.0
features_main_category_ohe_Photography,0.0
features_main_category_ohe_Crafts,0.0
features_main_category_ohe_Journalism,0.0
features_main_category_ohe___unknown,0.0
features_goal_bucket_ohe_small,0.0
features_goal_bucket_ohe___unknown,0.0
features_launch_month_ohe_0,0.0
features_launch_month_ohe_1,0.0
features_launch_month_ohe_2,0.0
features_launch_month_ohe_3,0.0
features_launch_month_ohe_4,0.0
features_launch_month_ohe_5,0.0
features_launch_month_ohe_6,0.0
features_launch_month_ohe_8,0.0
features_launch_month_ohe_9,0.0
features_launch_month_ohe_10,0.0
features_launch_month_ohe_11,0.0
features_launch_month_ohe_12,0.0
features_launch_day_of_week_ohe_0,0.0
features_launch_day_of_week_ohe_1,0.0
features_launch_day_of_week_ohe_2,0.0
features_launch_day_of_week_ohe_3,0.0
features_launch_day_of_week_ohe_4,0.0
features_launch_day_of_week_ohe_5,0.0
features_launch_day_of_week_ohe_6,0.0
features_launch_day_of_week_ohe_7,0.0
features_currency_idx,0.0
