feature,importance
category_idx,0.5422041210415389
cont_scaled_2,0.1525093491252432
cont_scaled_0,0.10707335718720568
cont_scaled_1,0.07069275438659516
country_idx,0.05639225047015817
currency_idx,0.02762841399703488
goal_bucket_ohe_medium,0.009671147966316828
launch_month_ohe_7,0.00789212953241768
launch_day_of_week_ohe_3,0.006528352940103053
launch_month_ohe_12,0.0046130665137383104
launch_month_ohe_1,0.0023512282580966013
launch_day_of_week_ohe_7,0.00221324044590755
launch_day_of_week_ohe_6,0.0018952313007222657
launch_month_ohe_8,0.0013214566882188295
main_category_ohe_Theater,0.0011516931443315878
launch_month_ohe_10,0.0011352093202895426
main_category_ohe_Comics,0.0007817005568158643
launch_month_ohe_9,0.0007296217056023879
launch_day_of_week_ohe_4,0.0006807498136769134
launch_month_ohe_11,0.0006277585844855786
goal_bucket_ohe_large,0.00044588937479144195
launch_day_of_week_ohe_2,0.00024332562823729047
launch_month_ohe_6,0.00023625274681970593
launch_month_ohe_5,0.00017304509243235705
launch_month_ohe_4,0.00017103929271964564
launch_day_of_week_ohe_1,0.00016144913667078174
launch_month_ohe_3,0.00013881728906137478
launch_day_of_week_ohe_5,0.0001199545006257064
goal_bucket_ohe_mega,7.953440042797726e-05
goal_bucket_ohe_small,7.506411472322416e-05
launch_month_ohe_2,4.753024350682024e-05
main_category_ohe_Food,1.5265201484861697e-05
main_category_ohe_Film & Video,0.0
main_category_ohe_Music,0.0
main_category_ohe_Publishing,0.0
main_category_ohe_Games,0.0
main_category_ohe_Technology,0.0
main_category_ohe_Art,0.0
main_category_ohe_Design,0.0
main_category_ohe_Fashion,0.0
main_category_ohe_Photography,0.0
main_category_ohe_Crafts,0.0
main_category_ohe_Journalism,0.0
main_category_ohe_Dance,0.0
main_category_ohe___unknown,0.0
goal_bucket_ohe_micro,0.0
goal_bucket_ohe___unknown,0.0
launch_month_ohe_0,0.0
launch_day_of_week_ohe_0,0.0
